Date,EM_SCB,EM_SCE,EM_TSM,EM_VAL,G_RE,IN_SCB,IN_SCE,IN_SCV,IN_VAL,US_1Y,US_2Y,US_3G,US_5Y,US_LCB,US_LCG,US_LCV,US_MIC,US_NQ,US_SCB,US_SCE,US_SCG,US_SCV,US_SP,US_TSM,USC
1927-12-31,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1928-01-31,102.77902,101.27312,100.48797,100.0171,101.39806,102.77902,100.09412,100.0171,98.19693,100.2436,100.44797,100.44797,100.44797,99.19684,98.03307,98.19693,103.26507,104.27,102.77902,100.09912,103.1981,100.0171,99.6036,99.54553,99.7998
1928-02-29,99.91554,98.26774,98.10224,95.82332,97.85972,99.91554,98.01387,95.82332,96.27007,100.56378,100.39841,100.39841,100.39841,98.00753,97.59715,96.27007,100.11936,98.86881,99.91554,98.02377,98.24841,95.82332,98.35646,98.2129,97.93653
1928-03-31,108.01971,106.01573,104.88792,105.36621,106.70127,108.01971,105.67875,105.36621,101.77949,100.84968,100.48984,100.48984,100.48984,107.12042,117.07266,101.77949,107.29485,106.0368,108.01971,105.69433,105.507,105.36621,109.18364,107.18686,106.08743
1928-04-30,116.62901,113.75899,111.63919,115.18668,115.92583,116.62901,111.54021,115.18668,106.76992,101.06449,100.45032,100.45032,100.45032,111.38191,117.83471,106.76992,117.53772,108.68772,116.62901,111.56194,109.94969,115.18668,112.95059,111.85522,111.33257
1928-05-31,119.94082,115.71052,112.97073,116.67389,118.32013,119.94082,112.9566,116.67389,106.28499,101.38163,100.37264,100.37264,100.37264,113.16745,121.80808,106.28499,121.56953,112.24181,119.94082,112.98418,118.22626,116.67389,115.18102,113.7791,112.94577
1928-06-30,111.67329,108.28479,106.61581,108.18335,109.93705,111.67329,106.96496,108.18335,101.65358,101.68801,100.52537,100.52537,100.52537,108.42435,117.80792,101.65358,111.58085,104.64304,111.67329,106.99673,108.15563,108.18335,110.74655,108.74321,107.29304
1928-07-31,111.63252,108.61948,107.30817,107.23763,109.43646,111.63252,107.62621,107.23763,103.01095,102.00588,99.61226,99.61226,99.61226,109.40185,118.68579,103.01095,110.89843,104.33958,111.63252,107.66352,107.71241,107.23763,112.30476,109.6859,108.09167
1928-08-31,118.50914,115.07809,113.36985,112.48203,115.48309,118.50914,114.71432,112.48203,108.3033,102.32373,100.09854,100.09854,100.09854,117.00905,128.0491,108.3033,116.08363,110.51648,118.50914,114.75947,114.30333,112.48203,121.32148,117.26484,115.30169
1928-09-30,124.91678,120.8246,117.69823,119.70156,122.31118,124.91678,118.96784,119.70156,110.71736,102.58783,100.36187,100.36187,100.36187,120.21439,132.81284,110.71736,122.67388,114.11932,124.91678,119.02041,120.84914,119.70156,124.46055,121.02867,119.28388
1928-10-31,127.46751,122.97498,119.73746,119.53943,123.47712,127.46751,120.78587,119.53943,112.29313,102.99623,100.67125,100.67125,100.67125,122.21998,134.39852,112.29313,126.31409,119.19763,127.46751,120.84519,129.09698,119.53943,126.55721,123.0905,121.05026
1928-11-30,142.38818,137.3979,133.52108,133.59939,137.96545,142.38818,134.90786,133.59939,125.00201,103.38237,100.84769,100.84769,100.84769,137.04129,144.46264,125.00201,140.52318,130.22341,142.38818,134.98016,140.28387,133.59939,142.90221,138.04698,135.13593
1928-12-31,142.44671,137.36836,133.18319,131.64277,136.98353,142.44671,135.6681,131.64277,124.31797,103.43406,100.75962,100.75962,100.75962,137.71425,142.08437,124.31797,138.42899,128.2961,142.44671,135.74755,141.54713,131.64277,143.60843,138.78462,135.77185
1929-01-31,145.18836,139.92571,136.14981,134.16696,139.61508,145.18836,140.78473,134.16696,127.46354,103.77942,100.45902,100.45902,100.45902,145.12593,148.25734,127.46354,141.75518,129.82282,145.18836,140.87397,141.49193,134.16696,151.9831,145.82193,141.7568
1929-02-28,146.66641,141.42876,137.45921,133.57781,140.0192,146.66641,141.915,133.57781,128.61766,104.13985,100.26078,100.26078,100.26078,145.06281,147.95238,128.61766,142.57157,131.93894,146.66641,142.012,142.53387,133.57781,151.68779,145.90169,142.46266
1929-03-31,140.27805,137.29089,135.32957,128.34789,134.22872,140.27805,140.07921,128.34789,130.23456,104.48674,100.29323,100.29323,100.29323,145.10155,149.55548,130.23456,136.68544,124.36564,140.27805,140.18205,134.04128,128.34789,151.51002,145.32351,140.87651
1929-04-30,141.96362,138.83497,136.86606,128.12725,134.91979,141.96362,141.78712,128.12725,131.62695,104.84899,101.16876,101.16876,101.16876,147.65393,150.98506,131.62695,138.0435,126.18138,141.96362,141.89823,133.92439,128.12725,154.18053,147.84441,142.73346
1929-05-31,127.87263,128.11723,129.02726,111.8541,119.65595,127.87263,133.14325,111.8541,129.61447,105.29859,100.5351,100.5351,100.5351,139.99334,134.69378,129.61447,122.54466,111.62005,127.87263,133.25468,120.2562,111.8541,148.59349,139.57,134.56225
1929-06-30,137.06682,136.80366,137.78542,117.45985,126.95602,137.06682,144.75636,117.45985,137.89109,105.83487,101.59682,101.59682,101.59682,154.77512,146.40315,137.89109,130.45818,121.13008,137.06682,144.88417,128.6288,117.45985,165.52943,153.95826,147.00777
1929-07-31,138.88799,140.15204,143.07799,121.63364,130.05505,138.88799,150.41192,121.63364,146.65221,106.17831,102.25544,102.25544,102.25544,162.36901,146.46114,146.65221,131.79631,123.49211,138.88799,150.55197,128.53477,121.63364,173.32041,161.09518,153.31741
1929-08-31,140.83059,145.40804,152.45548,121.66464,130.98115,140.83059,160.76228,121.66464,163.82451,106.59559,102.77763,102.77763,102.77763,178.00179,156.45182,163.82451,132.37722,120.63944,140.83059,160.91949,127.38632,121.66464,191.14451,175.51163,165.09491
1929-09-30,135.41789,138.92272,144.41538,116.33191,125.59353,135.41789,153.85236,116.33191,152.84162,106.96004,102.62209,102.62209,102.62209,169.15075,146.11595,152.84162,126.51104,118.96256,135.41789,154.01086,121.95724,116.33191,182.0424,166.99399,157.38207
