Date,B_EU_1Y,B_EU_LT
1927-12-31,100,100
1928-01-31,100.2436,100
1928-02-29,100.56378,100
1928-03-31,100.84968,100.25
1928-04-30,101.06449,100.079575
1928-05-31,101.38163,99.82937606
1928-06-30,101.68801,99.49993912
1928-07-31,102.00588,98.51488972
1928-08-31,102.32373,98.12083017
1928-09-30,102.58783,98.39556849
1928-10-31,102.99623,98.42508716
1928-11-30,103.38237,99.29122793
1928-12-31,103.43406,98.80470091
1929-01-31,103.77942,98.54780869
1929-02-28,104.13985,98.05506964
1929-03-31,104.48674,97.40790619
1929-04-30,104.84899,98.54757869
1929-05-31,105.29859,98.8727857
1929-06-30,105.83487,98.79368747
1929-07-31,106.17831,99.53464012
1929-08-31,106.59559,99.28580352
1929-09-30,106.96004,99.7028039
1929-10-31,107.43975,100.7895645
1929-11-30,107.83169,103.3193825
1929-12-31,108.21568,103.5570171
1930-01-31,108.35561,103.3809702
1930-02-28,108.66594,103.9805798
1930-03-31,109.03268,105.457104
1930-04-30,109.25119,105.1829156
1930-05-31,109.52224,106.1295618
1930-06-30,109.80623,107.0847279
1930-07-31,110.0131,107.5023583
1930-08-31,110.09979,107.8356156
1930-09-30,110.33012,108.4394951
1930-10-31,110.41464,109.1335078
1930-11-30,110.54791,109.7446555
1930-12-31,110.6914,109.898298
1931-01-31,110.84094,109.8213692
1931-02-28,110.87497,108.6352984
1931-03-31,111.00746,108.6461619
1931-04-30,111.08017,108.4831927
1931-05-31,111.16626,109.1449402
1931-06-30,111.23974,109.1449402
1931-07-31,111.29392,108.6756169
1931-08-31,111.32129,108.1213713
1931-09-30,111.33866,107.1915275
1931-10-31,111.44154,103.439824
1931-11-30,111.61684,103.2019124
1931-12-31,111.74508,100.2812983
1932-01-31,111.99215,98.52637558
1932-02-29,112.23865,100.7038085
1932-03-31,112.41015,103.2314741
1932-04-30,112.52762,106.2148637
1932-05-31,112.58523,106.4697793
1932-06-30,112.59874,107.4067134
1932-07-31,112.61563,109.9092898
1932-08-31,112.64164,111.9865754
1932-09-30,112.66519,113.1848318
1932-10-31,112.67409,114.011081
1932-11-30,112.68366,114.7521531
1932-12-31,112.68457,116.5767123
1933-01-31,112.68547,117.9872905
1933-02-28,112.64434,117.2321719
1933-03-31,112.68038,116.2943145
1933-04-30,112.77943,116.4454971
1933-05-31,112.81665,117.7729758
1933-06-30,112.83199,118.8093779
1933-07-31,112.84226,119.0469967
1933-08-31,112.85963,119.0827108
1933-09-30,112.86539,119.4161424
1933-10-31,112.8637,119.2489598
1933-11-30,112.87284,116.9951544
1933-12-31,112.88424,116.4686763
1934-01-31,112.92612,117.6915974
1934-02-28,112.94283,120.3985041
1934-03-31,112.95526,122.421199
1934-04-30,112.95108,123.7433479
1934-05-31,112.94712,125.1787707
1934-06-30,112.94294,126.3930048
1934-07-31,112.93899,127.4041489
1934-08-31,112.93504,126.9582343
1934-09-30,112.9303,125.8156102
1934-10-31,112.9321,128.3822487
1934-11-30,112.93018,129.088351
1934-12-31,112.93244,130.4308699
1935-01-31,112.93572,132.5699362
1935-02-28,112.94385,133.6039817
1935-03-31,112.94667,133.951352
1935-04-30,112.94995,134.7550601
1935-05-31,112.95322,135.2132273
1935-06-30,112.95559,135.6729523
1935-07-31,112.95932,136.256346
1935-08-31,112.9626,134.8801569
1935-09-30,112.96542,134.8936449
1935-10-31,112.96825,135.7164962
1935-11-30,112.98395,135.9607858
1935-12-31,112.98723,136.5590133
1936-01-31,112.9905,137.3920233
1936-02-29,112.99287,138.6835083
1936-03-31,113.00101,139.8623181
1936-04-30,113.00858,140.6875058
1936-05-31,113.01547,141.5034933
1936-06-30,113.03876,141.8431017
1936-07-31,113.04203,142.5523172
1936-08-31,113.05006,143.9778404
1936-09-30,113.05108,144.1938072
1936-10-31,113.06204,144.640808
1936-11-30,113.06012,146.6802434
1936-12-31,113.05198,147.1202841
1937-01-31,113.05345,147.9000216
1937-02-28,113.06148,148.1662416
1937-03-31,113.06611,144.9806674
1937-04-30,113.09381,144.2702622
1937-05-31,113.15421,144.9483324
1937-06-30,113.17967,144.8613634
1937-07-31,113.20445,146.1940879
1937-08-31,113.22109,145.2145876
1937-09-30,113.25132,145.6502313
1937-10-31,113.25891,145.8250116
1937-11-30,113.27103,146.7728742
1937-12-31,113.26412,147.0810972
1938-01-31,113.25664,147.7870865
1938-02-28,113.25076,148.7477025
1938-03-31,113.23139,148.9261998
1938-04-30,113.23399,150.5494954
1938-05-31,113.2246,151.5130121
1938-06-30,113.21474,151.6796764
1938-07-31,113.19731,152.2560592
1938-08-31,113.19086,152.9564371
1938-09-30,113.20014,152.3293157
1938-10-31,113.20071,154.2334321
1938-11-30,113.1192,154.1408921
1938-12-31,113.10993,154.9732529
1939-01-31,113.09251,155.3761834
1939-02-28,113.09138,156.448279
1939-03-31,113.06955,158.0753411
1939-04-30,113.05394,159.4347891
1939-05-31,113.04976,161.7784805
1939-06-30,113.05191,161.7299469
1939-07-31,113.04196,162.3930397
1939-08-31,113.02421,160.9315023
1939-09-30,113.0241,154.8804778
1939-10-31,113.01528,158.4272408
1939-11-30,113.00636,160.3758958
1939-12-31,112.99743,162.1721059
1940-01-31,112.98816,162.6586222
1940-02-29,112.97867,163.1628639
1940-03-31,112.96737,165.2350323
1940-04-30,112.95709,165.0037033
