Date,EURUSD
1957-12-31,1.7313
1958-01-31,1.7308
1958-02-28,1.731
1958-03-31,1.731
1958-04-30,1.7315
1958-05-31,1.7315
1958-06-30,1.7314
1958-07-31,1.7321
1958-08-31,1.7321
1958-09-30,1.7322
1958-10-31,1.659
1958-11-30,1.6589
1958-12-31,1.6075
1959-01-31,1.6102
1959-02-28,1.6108
1959-03-31,1.6109
1959-04-30,1.6109
1959-05-31,1.6109
1959-06-30,1.611
1959-07-31,1.6108
1959-08-31,1.6108
1959-09-30,1.5742
1959-10-31,1.5747
1959-11-30,1.5745
1959-12-31,1.5745
1960-01-31,1.5742
1960-02-29,1.5739
1960-03-31,1.5749
1960-04-30,1.5749
1960-05-31,1.5747
1960-06-30,1.5749
1960-07-31,1.5748
1960-08-31,1.575
1960-09-30,1.575
1960-10-31,1.5753
1960-11-30,1.5749
1960-12-31,1.5748
1961-01-31,1.573
1961-02-28,1.5719
1961-03-31,1.5824
1961-04-30,1.5832
1961-05-31,1.5832
1961-06-30,1.5829
1961-07-31,1.5834
1961-08-31,1.5834
1961-09-30,1.5837
1961-10-31,1.5839
1961-11-30,1.5837
1961-12-31,1.5837
1962-01-31,1.5833
1962-02-28,1.5833
1962-03-31,1.5837
1962-04-30,1.5838
1962-05-31,1.5842
1962-06-30,1.5842
1962-07-31,1.5837
1962-08-31,1.5834
1962-09-30,1.5833
1962-10-31,1.5824
1962-11-30,1.5829
1962-12-31,1.5835
1963-01-31,1.5826
1963-02-28,1.5829
1963-03-31,1.5828
1963-04-30,1.5833
1963-05-31,1.5832
1963-06-30,1.583
1963-07-31,1.5835
1963-08-31,1.5833
1963-09-30,1.5818
1963-10-31,1.5821
1963-11-30,1.5822
1963-12-31,1.5822
1964-01-31,1.5822
1964-02-29,1.5824
1964-03-31,1.5822
1964-04-30,1.5806
1964-05-31,1.5786
1964-06-30,1.5762
1964-07-31,1.5772
1964-08-31,1.5767
1964-09-30,1.5787
1964-10-31,1.5801
1964-11-30,1.5829
1964-12-31,1.582
1965-01-31,1.5811
1965-02-28,1.5804
1965-03-31,1.5785
1965-04-30,1.5848
1965-05-31,1.5755
1965-06-30,1.5727
1965-07-31,1.5696
1965-08-31,1.5655
1965-09-30,1.5719
1965-10-31,1.5673
1965-11-30,1.5695
1965-12-31,1.5706
1966-01-31,1.5687
1966-02-28,1.5624
1966-03-31,1.5609
1966-04-30,1.5645
1966-05-31,1.5618
1966-06-30,1.5654
1966-07-31,1.571
1966-08-31,1.5735
1966-09-30,1.5765
1966-10-31,1.5746
1966-11-30,1.5789
1966-12-31,1.5812
1967-01-31,1.5824
1967-02-28,1.5796
1967-03-31,1.5831
1967-04-30,1.5811
1967-05-31,1.5791
1967-06-30,1.5759
1967-07-31,1.5733
1967-08-31,1.5691
1967-09-30,1.5692
1967-10-31,1.5691
1967-11-30,1.5837
1967-12-31,1.5686
1968-01-31,1.5763
1968-02-29,1.5634
1968-03-31,1.568
1968-04-30,1.5774
1968-05-31,1.5669
1968-06-30,1.5774
1968-07-31,1.5828
1968-08-31,1.5557
1968-09-30,1.5874
1968-10-31,1.5807
1968-11-30,1.5755
1968-12-31,1.5753
1969-01-31,1.5755
1969-02-28,1.578
1969-03-31,1.5787
1969-04-30,1.5724
1969-05-31,1.5752
1969-06-30,1.5764
1969-07-31,1.5759
1969-08-31,1.5698
1969-09-30,1.5707
1969-10-31,1.5794
1969-11-30,1.5798
1969-12-31,1.5826
1970-01-31,1.5082
1970-02-28,1.5055
1970-03-31,1.507
1970-04-30,1.5071
1970-05-31,1.5062
1970-06-30,1.5069
1970-07-31,1.5054
1970-08-31,1.5182
1970-09-30,1.5181
1970-10-31,1.5156
1970-11-30,1.5193
1970-12-31,1.5308
1971-01-31,1.5167
1971-02-28,1.5171
1971-03-31,1.518
1971-04-30,1.5185
1971-05-31,1.5182
1971-06-30,1.5192
1971-07-31,1.5187
1971-08-31,1.5573
1971-09-30,1.5553
1971-10-31,1.5554
1971-11-30,1.5611
1971-12-31,1.6093
1972-01-31,1.6263
1972-02-29,1.6331
1972-03-31,1.6478
1972-04-30,1.6439
1972-05-31,1.6511
1972-06-30,1.6565
1972-07-31,1.6535
1972-08-31,1.6622
1972-09-30,1.6555
1972-10-31,1.6397
1972-11-30,1.6431
1972-12-31,1.6408
1973-01-31,1.6172
1973-02-28,1.7657
1973-03-31,1.7364
1973-04-30,1.7246
1973-05-31,1.7642
1973-06-30,1.8247
1973-07-31,1.8181
1973-08-31,1.8047
1973-09-30,1.8205
1973-10-31,1.8047
1973-11-30,1.715
1973-12-31,1.7021
1974-01-31,1.6031
1974-02-28,1.6237
1974-03-31,1.7183
1974-04-30,1.7353
1974-05-31,1.6984
1974-06-30,1.6955
1974-07-31,1.7029
1974-08-31,1.6665
1974-09-30,1.6732
1974-10-31,1.6816
1974-11-30,1.7082
1974-12-31,1.7565
1975-01-31,1.3472
1975-02-28,1.3847
1975-03-31,1.3561
1975-04-30,1.3524
1975-05-31,1.3708
1975-06-30,1.3622
1975-07-31,1.2637
1975-08-31,1.2582
1975-09-30,1.2243
1975-10-31,1.2636
1975-11-30,1.2346
1975-12-31,1.2356
1976-01-31,1.2228
1976-02-29,1.2127
1976-03-31,1.1906
1976-04-30,1.1798
1976-05-31,1.1719
