Date,S_US_LCB,S_US_LCV,S_US_SCB,S_US_MIC,S_US_SCV,R_G_RE,S_IN_VAL,S_IN_SCB,S_IN_SCV,S_EM_TSM,S_EM_VAL,S_EM_SCB,B_US_1Y,B_G_2Y,B_US_3G,B_G_5Y,S_US_NQ,S_US_LCG,S_US_SCG,S_US_TSM,S_US_SCE,S_IN_SCE,S_USC,S_EM_SCE,S_US_SP,B_US_LT,R_COM,R_GLD,R_SLV,S_G_TSM
1927-12-31,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1928-01-31,99.19684,98.19693,102.77902,103.26507,100.0171,101.39806,98.19693,102.77902,100.0171,100.48797,100.0171,102.77902,100.2436,100.44797,100.44797,100.44797,104.27,98.03307,103.1981,99.54553,100.09912,100.09412,99.7998,101.27312,99.6036,100,101.63002,100.00001,101.76,99.82143267
1928-02-29,98.00753,96.27007,99.91554,100.11936,95.82332,97.85972,96.27007,99.91554,95.82332,98.10224,95.82332,99.91554,100.56378,100.39841,100.39841,100.39841,98.86881,97.59715,98.24841,98.2129,98.02377,98.01387,97.93653,98.26774,98.35646,100,101.6300302,100.00002,101.76,99.26559182
1928-03-31,107.12042,101.77949,108.01971,107.29485,105.36621,106.70127,101.77949,108.01971,105.36621,104.88792,105.36621,108.01971,100.84968,100.48984,100.48984,100.48984,106.0368,117.07266,105.507,107.18686,105.69433,105.67875,106.08743,106.01573,109.18364,100.25,101.6300403,100.00003,101.76,101.9160878
1928-04-30,111.38191,106.76992,116.62901,117.53772,115.18668,115.92583,106.76992,116.62901,115.18668,111.63919,115.18668,116.62901,101.06449,100.45032,100.45032,100.45032,108.68772,117.83471,109.94969,111.85522,111.56194,111.54021,111.33257,113.75899,112.95059,100.079575,101.6300505,100.00004,101.76,103.5743218
1928-05-31,113.16745,106.28499,119.94082,121.56953,116.67389,118.32013,106.28499,119.94082,116.67389,112.97073,116.67389,119.94082,101.38163,100.37264,100.37264,100.37264,112.24181,121.80808,118.22626,113.7791,112.98418,112.9566,112.94577,115.71052,115.18102,99.82937606,101.6300607,100.00005,101.76,103.9816075
1928-06-30,108.42435,101.65358,111.67329,111.58085,108.18335,109.93705,101.65358,111.67329,108.18335,106.61581,108.18335,111.67329,101.68801,100.52537,100.52537,100.52537,104.64304,117.80792,108.15563,108.74321,106.99673,106.96496,107.29304,108.28479,110.74655,99.49993912,101.6300708,100.00006,101.76,102.3691376
1928-07-31,109.40185,103.01095,111.63252,110.89843,107.23763,109.43646,103.01095,111.63252,107.23763,107.30817,107.23763,111.63252,102.00588,99.61226,99.61226,99.61226,104.33958,118.68579,107.71241,109.6859,107.66352,107.62621,108.09167,108.61948,112.30476,98.51488972,101.630081,100.00007,101.76,102.6820714
1928-08-31,117.00905,108.3033,118.50914,116.08363,112.48203,115.48309,108.3033,118.50914,112.48203,113.36985,112.48203,118.50914,102.32373,100.09854,100.09854,100.09854,110.51648,128.0491,114.30333,117.26484,114.75947,114.71432,115.30169,115.07809,121.32148,98.12083017,101.6300911,100.00008,101.76,104.8394585
1928-09-30,120.21439,110.71736,124.91678,122.67388,119.70156,122.31118,110.71736,124.91678,119.70156,117.69823,119.70156,124.91678,102.58783,100.36187,100.36187,100.36187,114.11932,132.81284,120.84914,121.02867,119.02041,118.96784,119.28388,120.8246,124.46055,98.39556849,101.6301013,100.00009,101.76,105.9350979
1928-10-31,122.21998,112.29313,127.46751,126.31409,119.53943,123.47712,112.29313,127.46751,119.53943,119.73746,119.53943,127.46751,102.99623,100.67125,100.67125,100.67125,119.19763,134.39852,129.09698,123.0905,120.84519,120.78587,121.05026,122.97498,126.55721,98.42508716,101.6301115,100.0001,101.76,106.5189128
1928-11-30,137.04129,125.00201,142.38818,140.52318,133.59939,137.96545,125.00201,142.38818,133.59939,133.52108,133.59939,142.38818,103.38237,100.84769,100.84769,100.84769,130.22341,144.46264,140.28387,138.04698,134.98016,134.90786,135.13593,137.3979,142.90221,99.29122793,101.6301216,100.00011,101.76,110.7286487
1928-12-31,137.71425,124.31797,142.44671,138.42899,131.64277,136.98353,124.31797,142.44671,131.64277,133.18319,131.64277,142.44671,103.43406,100.75962,100.75962,100.75962,128.2961,142.08437,141.54713,138.78462,135.74755,135.6681,135.77185,137.36836,143.60843,98.80470091,101.6301318,100.00012,101.76,110.7879059
1929-01-31,145.12593,127.46354,145.18836,141.75518,134.16696,139.61508,127.46354,145.18836,134.16696,136.14981,134.16696,145.18836,103.77942,100.45902,100.45902,100.45902,129.82282,148.25734,141.49193,145.82193,140.87397,140.78473,141.7568,139.92571,151.9831,98.54780869,96.67546977,100.00013,92.96,112.2628434
1929-02-28,145.06281,128.61766,146.66641,142.57157,133.57781,140.0192,128.61766,146.66641,133.57781,137.45921,133.57781,146.66641,104.13985,100.26078,100.26078,100.26078,131.93894,147.95238,142.53387,145.90169,142.012,141.915,142.46266,141.42876,151.68779,98.05506964,96.67547944,100.00014,92.96,112.414868
1929-03-31,145.10155,130.23456,140.27805,136.68544,128.34789,134.22872,130.23456,140.27805,128.34789,135.32957,128.34789,140.27805,104.48674,100.29323,100.29323,100.29323,124.36564,149.55548,134.04128,145.32351,140.18205,140.07921,140.87651,137.29089,151.51002,97.40790619,96.67548911,100.00015,92.96,112.3038775
1929-04-30,147.65393,131.62695,141.96362,138.0435,128.12725,134.91979,131.62695,141.96362,128.12725,136.86606,128.12725,141.96362,104.84899,101.16876,101.16876,101.16876,126.18138,150.98506,133.92439,147.84441,141.89823,141.78712,142.73346,138.83497,154.18053,98.54757869,96.67549877,100.00016,92.96,112.8585504
1929-05-31,139.99334,129.61447,127.87263,122.54466,111.8541,119.65595,129.61447,127.87263,111.8541,129.02726,111.8541,127.87263,105.29859,100.5351,100.5351,100.5351,111.62005,134.69378,120.2562,139.57,133.25468,133.14325,134.56225,128.11723,148.59349,98.8727857,96.67550844,100.00017,92.96,111.0493238
1929-06-30,154.77512,137.89109,137.06682,130.45818,117.45985,126.95602,137.89109,137.06682,117.45985,137.78542,117.45985,137.06682,105.83487,101.59682,101.59682,101.59682,121.13008,146.40315,128.6288,153.95826,144.88417,144.75636,147.00777,136.80366,165.52943,98.79368747,96.67551811,100.00018,92.96,114.3142021
1929-07-31,162.36901,146.65221,138.88799,131.79631,121.63364,130.05505,146.65221,138.88799,121.63364,143.07799,121.63364,138.88799,106.17831,102.25544,102.25544,102.25544,123.49211,146.46114,128.53477,161.09518,150.55197,150.41192,153.31741,140.15204,173.32041,99.53464012,96.67552778,100.00019,92.96,116.1509784
1929-08-31,178.00179,163.82451,140.83059,132.37722,121.66464,130.98115,163.82451,140.83059,121.66464,152.45548,121.66464,140.83059,106.59559,102.77763,102.77763,102.77763,120.63944,156.45182,127.38632,175.51163,160.91949,160.76228,165.09491,145.40804,191.14451,99.28580352,96.67553744,100.0002,92.96,119.644082
1929-09-30,169.15075,152.84162,135.41789,126.51104,116.33191,125.59353,152.84162,135.41789,116.33191,144.41538,116.33191,135.41789,106.96004,102.62209,102.62209,102.62209,118.96256,146.11595,121.95724,166.99399,154.01086,153.85236,157.38207,138.92272,182.0424,99.7028039,96.67554711,100.00021,92.96,117.5274268
1929-10-31,137.26456,138.86904,108.7012,100.17865,95.21772,101.80673,138.86904,108.7012,95.21772,123.56834,95.21772,108.7012,107.43975,104.334,104.334,104.334,89.09106,107.7458,95.45459,135.34399,127.45851,127.31964,129.4322,115.42692,146.12889,100.7895645,96.67555678,100.00022,92.96,111.2251617
1929-11-30,120.78773,127.34934,95.46737,86.96886,83.89856,89.55828,127.34934,95.46737,83.89856,110.92121,83.89856,95.46737,107.83169,106.20039,106.20039,106.20039,75.07703,90.16221,79.7861,119.04638,113.36976,113.23988,114.78778,102.74645,127.91568,103.3193825,96.67556645,100.00023,92.96,107.1724757
1929-12-31,123.18435,127.51974,93.78765,84.41328,82.61255,88.08402,127.51974,93.78765,82.61255,110.0196,82.61255,93.78765,108.21568,106.64916,106.64916,106.64916,69.8742,93.90863,77.58712,121.06715,113.79415,113.65812,115.71278,101.70585,131.52328,103.5570171,96.67557611,100.00024,92.96,107.4878029
1930-01-31,129.29724,130.95606,102.06189,92.86769,90.61845,96.23761,130.95606,102.06189,90.61845,116.3551,90.61845,102.06189,108.35561,106.19555,106.19555,106.19555,78.9788,100.30843,82.42056,127.47238,119.73304,119.58423,121.7926,108.83826,139.92354,103.3809702,83.81914562,100.00025,66.72,109.2309099
1930-02-28,132.9483,131.29169,104.88973,95.79787,93.50679,99.10457,131.29169,104.88973,93.50679,118.11614,93.50679,104.88973,108.66594,107.17718,107.17718,107.17718,83.22786,104.58621,83.52928,131.03031,122.0707,121.913,124.50279,110.76922,143.54602,103.9805798,83.819154,100.00026,66.72,109.9695446
