Date,AUD,AUST,BELG,CAD,DNMK,FNLD,FRA,GER,HNGK,IRLD,ISRL,ITA,JPY,GREC REB,NTHRL,NZL,NHNKBU,NRWY,PRTGL,SNGPR,SPA,SWE,SWISS,UK,US,BRA,CHL,CHN,CHN50,CHN-A,CHN-A50,GREC,CLMB,CZCHRPB,EGYPT,HUNG,INDO,INDI,INDI.D,KOR,KUWT,KUWT.D,MLYS,MXCO,PRU,PHLPN,PLND,QATR,THAIL,QATR.D,SADIA,SADIA.D,STHAF,TAIW,TRKY,UAE,UAE.D,ARGNT,BAHRN,BAHRN.D,BNGLDSH,BSNIA,BTSWNA,ESTN,BULGR,CROTIA,GHNA,IVRYCST,JMCA,JRDN,KZKSTN,KNYA,LBNON,LTHNIA,MAURITH,PKSTN,MRCCO,NGER,OMAN,OMAN.D,PKSTN.D,RUSS.GRW,RUSS.VAL,PKSTN.VAL,PNMA,ROMAN,SNGL,SRI.LNK,SRBIA,SLOVIA,TRNDAD,TNSIA,UKRN,VTNAM,ZMBWE
1969-12-69,100,100,100,100,100,,100,100,100,,,100,100,,100,,,100,,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-70,96.92,100.051,101.067,102.493,100.678,,103.938,95.232,105.587,,,104.183,98.486,,94.638,,,104.033,,98.978,103.941,96.232,97.5,99.383,92.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-70,95.85,98.924,101.267,107.088,99.241,,101.171,92.512,113.115,,,101.428,99.768,,95.525,,,102.299,,100.575,109.047,90.238,95.886,94.182,98.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-03-70,95.575,98.416,101.957,108.227,96.918,,100.13,93.39,117.773,,,105.097,103.893,,96.899,,,107.371,,98.053,105.739,92.891,95.857,96.612,98.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-04-70,84.926,101.021,100.935,95.896,93.411,,94.308,89.142,118.334,,,104.872,91.389,,90.929,,,104.613,,91.945,97.249,83.629,86.782,86.858,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-05-70,79.47,101.202,97.124,86.828,89.913,,91.884,80.844,115.137,,,95.026,89.027,,88.813,,,100.616,,91.681,92.802,77.98,84.604,82.614,85.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-06-70,89.789,103.864,98.128,91.242,90.127,,89.812,77.929,120.788,,,90.617,90.73,,88.925,,,105.803,,92.387,96.399,83.57,85.101,86.466,81.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-07-70,92.703,105.161,104.009,97.821,86.911,,95.094,82.744,129.612,,,93.198,90.997,,96.773,,,113.389,,93.348,98.692,91.045,88.384,89.798,87.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-08-70,92.038,109.731,103.779,102.311,91.658,,94.766,83.787,135.158,,,93.299,90.094,,103.306,,,124.906,,92.459,99.066,85.35,92.324,89.704,91.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-09-70,92.216,111.824,104.731,109.037,88.686,,92.184,82.492,132.97,,,91.074,89.131,,101.658,,,128.526,,93.325,95.809,83.328,88.406,95.07,94.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-10-70,83.818,110.493,106.34,107.571,90.969,,93.619,81.325,129.165,,,87.081,90.358,,101.773,,,131.298,,94.218,99,74.867,87.338,94.962,93.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-11-70,79.769,111.281,104.938,112.744,92.421,,92.919,78.446,135.149,,,85.424,87.839,,91.623,,,130.519,,93.188,99.057,81.398,83.876,88.586,99.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-12-70,80.809,111.455,107.181,115.836,93.467,,94.83,76.16,145.362,,,82.422,88.621,,93.449,,,134.215,,96.148,96.299,80.997,86.797,94.235,104.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-01-71,79.039,110.027,116.396,119.716,94.663,,99.711,87.16,152.572,,,83.551,93.552,,95.937,,,144.28,,102.399,102.815,87.038,94.62,94.634,109.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-02-71,77.621,111.19,119.681,119.574,92.44,,99.162,90.951,145.231,,,86.04,97.927,,96.272,,,144.716,,101.441,104.006,91.263,95.189,93.033,110.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-03-71,81.96,109.936,117.423,124.909,89.542,,97.337,91.874,146.23,,,83.133,106.087,,97.59,,,130.56,,103.769,100.947,94.244,100.24,101.16,115.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-04-71,79.033,111.962,121.092,124.645,89.927,,97.379,86.343,157.685,,,80.46,111.659,,102.131,,,137.582,,106.325,101.899,91.332,103.141,112.496,119.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-05-71,76.873,117.827,122.671,121.303,89.151,,102.741,90.516,170.784,,,75.217,110.941,,103.583,,,156.007,,116.87,104.644,94.607,99.284,116.771,115.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-06-71,77.642,116.598,124.006,120.632,89.617,,100.85,90.781,207.468,,,75.091,121.637,,102.501,,,177.327,,121.023,104.407,95.675,104.02,118.905,116.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
