Date,WORLD,G7 INDEX,MSCI Emerging Markets Top 100 Select Index,NORTH AMERICA,PACIFIC,PACIFIC ex JAPAN,EAFE,EMU,EU,EURO,EUROPE,FAR EAST,EM ASIA,ASEAN,BRIC,EFM (EMERGING + FRONTIER MARKETS),EM 50,EM ASEAN,EM LATIN AMERICA,EM FAR EAST,EM EUROPE & MIDDLE EAST,EM EUROPE,EM EMEA,EM EASTERN EUROPE,FM (FRONTIER MARKETS),FM AFRICA,FM ASIA INDEX,FM CENTRAL & EASTERN EUROPE + CIS,FM EMEA,FM LATIN AMERICA & CARIBBEAN INDEX,GOLDEN DRAGON,FRONTIER EMERGING MARKETS
1969-12-31,100.00,,,100.00,100.00,100.00,100.00,,,,100.00,100.00,,,,,,,,,,,,,,,,,,,,
1970-01-30,94.53,,,93.64,98.21,97.75,98.92,,,,99.23,98.82,,,,,,,,,,,,,,,,,,,,
1970-02-27,97.56,,,98.76,98.93,97.53,96.68,,,,96.25,100.39,,,,,,,,,,,,,,,,,,,,
1970-03-31,97.95,,,99.42,101.50,97.52,98.23,,,,97.56,104.31,,,,,,,,,,,,,,,,,,,,
1970-04-30,88.88,,,90.76,90.14,88.05,90.10,,,,90.49,92.61,,,,,,,,,,,,,,,,,,,,
1970-05-29,83.36,,,85.48,86.79,83.09,85.66,,,,85.76,90.29,,,,,,,,,,,,,,,,,,,,
1970-06-30,81.39,,,82.65,91.39,92.44,87.57,,,,86.87,92.14,,,,,,,,,,,,,,,,,,,,
1970-07-31,86.53,,,88.73,92.79,95.71,91.10,,,,91.10,92.81,,,,,,,,,,,,,,,,,,,,
1970-08-31,89.46,,,92.36,92.17,95.54,91.52,,,,91.88,92.21,,,,,,,,,,,,,,,,,,,,
1970-09-30,92.44,,,95.71,91.58,95.57,92.21,,,,92.98,91.25,,,,,,,,,,,,,,,,,,,,
1970-10-30,91.16,,,94.99,89.54,88.13,91.49,,,,92.61,92.24,,,,,,,,,,,,,,,,,,,,
1970-11-30,93.30,,,100.07,86.82,85.09,87.60,,,,88.47,90.16,,,,,,,,,,,,,,,,,,,,
1970-12-31,98.02,,,105.57,88.01,86.98,89.49,,,,90.65,91.41,,,,,,,,,,,,,,,,,,,,
1971-01-29,102.62,,,110.29,90.95,86.43,93.15,,,,94.61,96.49,,,,,,,,,,,,,,,,,,,,
1971-02-26,103.79,,,111.43,93.01,84.57,94.02,,,,94.99,100.20,,,,,,,,,,,,,,,,,,,,
1971-03-31,108.44,,,115.96,99.61,88.55,98.10,,,,98.22,107.88,,,,,,,,,,,,,,,,,,,,
1971-04-30,112.07,,,120.00,102.57,87.08,101.92,,,,102.38,113.61,,,,,,,,,,,,,,,,,,,,
1971-05-31,109.50,,,115.56,102.05,86.88,103.87,,,,105.31,113.86,,,,,,,,,,,,,,,,,,,,
1971-06-30,110.70,,,116.30,110.20,90.72,106.35,,,,106.29,125.49,,,,,,,,,,,,,,,,,,,,
1971-07-30,109.02,,,112.60,109.61,88.18,110.90,,,,111.21,126.21,,,,,,,,,,,,,,,,,,,,
1971-08-31,111.49,,,117.19,105.25,89.25,109.36,,,,111.19,120.92,,,,,,,,,,,,,,,,,,,,
1971-09-30,110.52,,,115.81,105.84,84.78,107.74,,,,109.09,125.52,,,,,,,,,,,,,,,,,,,,
1971-10-29,106.43,,,111.61,103.07,84.82,104.36,,,,105.57,121.17,,,,,,,,,,,,,,,,,,,,
1971-11-30,107.43,,,112.17,105.91,79.63,107.83,,,,108.57,125.92,,,,,,,,,,,,,,,,,,,,
1971-12-31,117.19,,,119.52,122.12,96.39,117.42,,,,116.06,142.56,,,,,,,,,,,,,,,,,,,,
1972-01-31,121.58,,,122.22,128.20,94.68,124.25,,,,123.07,152.98,,,,,,,,,,,,,,,,,,,,
1972-02-29,126.35,,,125.72,139.80,102.97,132.41,,,,129.87,166.29,,,,,,,,,,,,,,,,,,,,
1972-03-31,128.20,,,127.64,147.10,108.35,136.78,,,,133.59,175.82,,,,,,,,,,,,,,,,,,,,
1972-04-28,129.99,,,127.95,153.04,109.53,140.06,,,,136.25,185.69,,,,,,,,,,,,,,,,,,,,
1972-05-31,132.73,,,128.34,164.38,114.70,144.62,,,,138.66,200.81,,,,,,,,,,,,,,,,,,,,
1972-06-30,129.74,,,126.50,170.75,118.69,140.79,,,,131.78,209.12,,,,,,,,,,,,,,,,,,,,
1972-07-31,131.85,,,125.98,181.12,118.36,148.39,,,,138.79,227.53,,,,,,,,,,,,,,,,,,,,
1972-08-31,135.69,,,130.84,183.96,117.14,150.05,,,,139.77,231.49,,,,,,,,,,,,,,,,,,,,
1972-09-29,133.72,,,131.19,190.02,116.73,145.17,,,,131.66,242.10,,,,,,,,,,,,,,,,,,,,
1972-10-31,134.92,,,132.70,200.39,130.57,146.71,,,,131.52,254.98,,,,,,,,,,,,,,,,,,,,
1972-11-30,142.09,,,137.83,230.15,139.55,156.38,,,,135.17,298.59,,,,,,,,,,,,,,,,,,,,
1972-12-29,144.79,,,140.42,253.45,160.77,161.56,,,,134.19,331.99,,,,,,,,,,,,,,,,,,,,
1973-01-31,145.23,,,137.65,262.27,176.03,164.35,,,,134.90,343.59,,,,,,,,,,,,,,,,,,,,
1973-02-28,146.32,,,131.79,295.64,222.75,177.94,,,,144.41,392.72,,,,,,,,,,,,,,,,,,,,
1973-03-30,146.62,,,130.52,288.73,201.30,179.07,,,,148.57,382.47,,,,,,,,,,,,,,,,,,,,
1973-04-30,139.33,,,125.71,248.07,153.96,169.05,,,,149.48,324.97,,,,,,,,,,,,,,,,,,,,
1973-05-31,139.01,,,123.63,257.67,166.91,173.17,,,,151.76,335.58,,,,,,,,,,,,,,,,,,,,
1973-06-29,139.98,,,124.07,258.23,158.41,177.46,,,,157.72,337.55,,,,,,,,,,,,,,,,,,,,
1973-07-31,143.42,,,129.00,272.15,162.97,175.28,,,,149.43,357.38,,,,,,,,,,,,,,,,,,,,
1973-08-31,137.56,,,125.07,254.60,141.93,166.39,,,,143.24,336.44,,,,,,,,,,,,,,,,,,,,
1973-09-28,141.64,,,129.52,241.93,137.04,165.29,,,,146.41,318.86,,,,,,,,,,,,,,,,,,,,
