Date,GDP,CPI
1/1/1914,0,2.040816327
2/1/1914,0,1.020408163
3/1/1914,0,1.020408163
4/1/1914,0,0
5/1/1914,0,2.06185567
6/1/1914,0,1.020408163
7/1/1914,0,1.01010101
8/1/1914,0,3.03030303
9/1/1914,0,2
10/1/1914,0,1
11/1/1914,0,0.99009901
12/1/1914,-1,1
1/1/1915,-1,1
2/1/1915,0,1.01010101
3/1/1915,0,0
4/1/1915,0,2.040816327
5/1/1915,0,2.02020202
6/1/1915,1,2.02020202
7/1/1915,0,1
8/1/1915,0,-0.980392157
9/1/1915,-1,-0.980392157
10/1/1915,-1,0.99009901
11/1/1915,0,0.980392157
12/1/1915,1,1.98019802
1/1/1916,1,2.97029703
2/1/1916,1,4
3/1/1916,1,6.060606061
4/1/1916,1,6
5/1/1916,1,5.940594059
6/1/1916,1,6.930693069
7/1/1916,1,6.930693069
8/1/1916,1,7.920792079
9/1/1916,1,9.900990099
10/1/1916,1,10.78431373
11/1/1916,1,11.65048544
12/1/1916,1,12.62135922
1/1/1917,1,12.5
2/1/1917,1,15.38461538
3/1/1917,1,14.28571429
4/1/1917,1,18.86792453
5/1/1917,1,19.62616822
6/1/1917,1,20.37037037
7/1/1917,1,18.51851852
8/1/1917,1,19.26605505
9/1/1917,0,19.81981982
10/1/1917,0,19.46902655
11/1/1917,0,17.39130435
12/1/1917,0,18.10344828
1/1/1918,-1,19.65811966
2/1/1918,0,17.5
3/1/1918,0,16.66666667
4/1/1918,-1,12.6984127
5/1/1918,-1,13.28125
6/1/1918,-1,13.07692308
7/1/1918,0,17.96875
8/1/1918,1,18.46153846
9/1/1918,1,18.04511278
10/1/1918,1,18.51851852
11/1/1918,1,20.74074074
12/1/1918,1,20.4379562
1/1/1919,1,17.85714286
2/1/1919,-1,14.89361702
3/1/1919,-1,17.14285714
4/1/1919,-1,17.6056338
5/1/1919,0,16.55172414
6/1/1919,0,14.96598639
7/1/1919,0,15.23178808
8/1/1919,-1,14.93506494
9/1/1919,-1,13.37579618
