Date,GDP,CPI
1970-01-01,0,0
1970-02-01,0,0
1970-03-01,-0.028876312,-0.015792233
1970-04-01,-0.008272391,-0.006190038
1970-05-01,-0.095729631,-0.018136358
1970-06-01,-0.181893982,-0.033333189
1970-07-01,-0.155582712,-0.017754501
1970-08-01,-0.13557067,-0.016594887
1970-09-01,-0.096954578,-0.012604251
1970-10-01,-0.050599486,-0.008467117
1970-11-01,-0.045857872,0
1970-12-01,-0.083143611,0
1971-01-01,-0.014410836,0
1971-02-01,0,0
1971-03-01,0,0
1971-04-01,0,0
1971-05-01,0,0
1971-06-01,0,-0.009410839
1971-07-01,-0.015420845,-0.006884476
1971-08-01,0,0
1971-09-01,-0.010132528,0
1971-10-01,-4.04012E-05,0
1971-11-01,-0.025882783,0
1971-12-01,-0.010584627,0
1972-01-01,0,0
1972-02-01,0,0
1972-03-01,0,0
1972-04-01,0,-0.00064372
1972-05-01,0,0
1972-06-01,-0.016572827,0
1972-07-01,-0.0678,0
1972-08-01,-0.017488564,0
1972-09-01,0,0
1972-10-01,-0.037564296,-0.005976986
1972-11-01,-0.014979935,-0.012581237
1972-12-01,0,-0.020099157
1973-01-01,-0.007449933,-0.021777239
1973-02-01,-0.02570796,-0.008890872
1973-03-01,-0.007291576,-0.008285689
1973-04-01,-0.02760058,-0.011230723
1973-05-01,-0.036252186,-0.035515997
1973-06-01,-0.049529276,-0.042620769
1973-07-01,-0.056475769,-0.042152089
1973-08-01,-0.076992276,-0.041707972
1973-09-01,-0.101819677,-0.044385018
1973-10-01,-0.077929726,-0.03238972
1973-11-01,-0.040156271,-0.033621354
1973-12-01,-0.165525198,-0.044879251
1974-01-01,-0.193428052,-0.056231796
1974-02-01,-0.186151238,-0.085358987
1974-03-01,-0.146567885,-0.097038806
1974-04-01,-0.196456082,-0.102031465
1974-05-01,-0.178337054,-0.121921966
1974-06-01,-0.245078706,-0.157496928
1974-07-01,-0.295247335,-0.163683253
1974-08-01,-0.305426233,-0.165668898
1974-09-01,-0.404440344,-0.161885695
1974-10-01,-0.446977669,-0.153753409
1974-11-01,-0.419798056,-0.128610528
1974-12-01,-0.441827504,-0.127933745
1975-01-01,-0.45081542,-0.080607758
1975-02-01,-0.359018302,-0.054991487
1975-03-01,-0.286974942,-0.033635115
