Date,GDP,CPI
1970-01-01,-0.64659336,-0.591733328
1970-02-01,-0.686863778,-0.689399704
1970-03-01,-0.316908096,-0.42948592
1970-04-01,-0.118470296,-0.159214851
1970-05-01,-0.19635128,-0.182449213
1970-06-01,-0.354792048,-0.132543609
1970-07-01,-0.012025579,-0.402386863
1970-08-01,-0.541592313,-0.698945531
1970-09-01,-0.053439231,-0.51103921
1970-10-01,-0.269869991,-0.462274136
1970-11-01,-0.027279201,-0.311036129
1970-12-01,-0.290158631,-0.399924509
1971-01-01,-0.322522968,-0.384298817
1971-02-01,-0.000292944,-0.525318897
1971-03-01,-0.6240807,-0.044593446
1971-04-01,-0.338736081,-0.388206197
1971-05-01,-0.541470533,-0.012912695
1971-06-01,-0.161481314,-0.303224779
1971-07-01,-0.568907567,-0.487571968
1971-08-01,-0.443708388,-0.116697413
1971-09-01,-0.045607284,-0.306685016
1971-10-01,-0.468542718,-0.365111547
1971-11-01,-0.466490557,-0.131461909
1971-12-01,-0.144385171,-0.122413059
1972-01-01,-0.175641515,-0.364637838
1972-02-01,-0.34529852,-0.137174096
1972-03-01,-0.535769837,-0.393366515
1972-04-01,-0.108025099,-0.059549818
1972-05-01,-0.175371823,-0.105636479
1972-06-01,-0.093464816,-0.035003332
1972-07-01,-0.427220233,-0.311697829
1972-08-01,-0.493399262,-0.161488443
1972-09-01,-0.608492796,-0.351540627
1972-10-01,-0.659078355,-0.542279151
1972-11-01,-0.54949511,-0.608072106
1972-12-01,-0.216601019,-0.433931238
1973-01-01,-0.118442796,-0.004878471
1973-02-01,-0.356076557,-0.137780962
1973-03-01,-0.146744644,-0.615283896
1973-04-01,-0.501813287,-0.239876072
1973-05-01,-0.306971432,-0.536342657
1973-06-01,-0.648694264,-0.15932769
1973-07-01,-0.260262124,-0.526369908
1973-08-01,-0.623629031,-0.59209583
1973-09-01,-0.413924906,-0.32818073
1973-10-01,-0.12151003,-0.482218607
1973-11-01,-0.575799847,-0.261825655
1973-12-01,-0.283880791,-0.485721001
1974-01-01,-0.095374955,-0.613325613
1974-02-01,-0.541379425,-0.034331551
1974-03-01,-0.675165626,-0.663044847
1974-04-01,-0.067975314,-0.490502526
1974-05-01,-0.415929015,-0.299562137
1974-06-01,-0.469940046,-0.590067397
1974-07-01,-0.14221976,-0.130601787
1974-08-01,-0.509116758,-0.61137244
1974-09-01,-0.029166236,-0.458100262
1974-10-01,-0.243378898,-0.331909487
1974-11-01,-0.590878286,-0.378652324
1974-12-01,-0.000234101,-0.516692911
1975-01-01,-0.317967594,-0.285787155
1975-02-01,-0.074409905,-0.45155028
1975-03-01,-0.020231864,-0.50371984
1975-04-01,-0.306817744,-0.211284758
