Date,BIL,BND,BNDX,CWB,DBC,EEM,EFA,EFV,EMB,FLLA,GLD,GSG,HYG,IAU,IEI,IJH,IJK,IJR,IJS,IJT,LQD,PFF,QQQ,SCZ,SHY,SLV,SPY,TIP,TLT,VEA,VGK,VNQ,VO,VOE,VOO,VPL,VT,VTI,VTV,VUG,VWO
1/31/1900,100.39,100.06,100,100,102.87986,100,100,100,100,100,100.00001,102.87986,100,100,100.06,100,100,100,100,100,100.03,100,100,100,100.13,100,102.41,100,100.04,100,100,100,100,100,101.64,100,100,102.41,100,100,100
2/28/1900,100.781521,100.500264,100,100,102.8798703,100,100,100,100,100,100.00002,102.8798703,100,100,100.500264,100,100,100,100,100,100.450126,100,100,100,100.640663,100,105.318444,100,100.460168,100,100,100,100,100,103.784604,100,100,105.318444,100,100,100
3/31/1900,101.1745689,101.5454667,100,100,102.8798806,100,100,100,100,100,100.00003,102.8798806,100,100,101.5354167,100,100,100,100,100,101.4646723,100,100,100,101.7477103,100,107.2352397,100,101.4748157,100,100,100,100,100,104.9366131,100,100,107.2352397,100,100,100
4/30/1900,101.5691498,99.96135746,100,100,102.8798909,100,100,100,100,100,100.00004,102.8798909,100,100,99.94131068,100,100,100,100,100,99.85138398,100,100,100,100.2316694,100,109.6694796,100,99.86136613,100,100,100,100,100,106.6051053,100,100,109.6694796,100,100,100
5/31/1900,101.9652694,100.8710058,100,100,102.8799012,100,100,100,100,100,100.00005,102.8799012,100,100,100.8507766,100,100,100,100,100,100.7300762,100,100,100,101.2039166,100,105.7213784,100,100.7501323,100,100,100,100,100,101.8931596,100,100,105.7213784,100,100,100
6/30/1900,102.362934,100.89118,100,100,102.8799114,100,100,100,100,100,100.00006,102.8799114,100,100,100.8709468,100,100,100,100,100,100.7300762,100,100,100,101.2950001,100,103.776105,100,100.7501323,100,100,100,100,100,99.18280156,100,100,103.776105,100,100,100
7/31/1900,102.7621494,100.5279718,100,100,102.8799217,100,100,100,100,100,100.00007,102.8799217,100,100,100.5078114,100,100,100,100,100,100.3372289,100,100,100,101.0012446,100,104.8657541,100,100.3672818,100,100,100,100,100,99.5101048,100,100,104.8657541,100,100,100
8/31/1900,103.1629218,99.73380079,100,100,102.879932,100,100,100,100,100,100.00008,102.879932,100,100,99.71379964,100,100,100,100,100,99.52449731,100,100,100,100.2841358,100,107.3196127,100,99.5543068,100,100,100,100,100,101.2017766,100,100,107.3196127,100,100,100
9/30/1900,103.5652572,100.6114582,100,100,102.8799423,100,100,100,100,100,100.00009,102.8799423,100,100,100.5813097,100,100,100,100,100,100.3704555,100,100,100,101.2268067,100,108.092314,100,100.4104738,100,100,100,100,100,101.2017766,100,100,108.092314,100,100,100
10/31/1900,103.9691617,100.7221308,100,100,102.8799526,100,100,100,100,100,100.0001,102.8799526,100,100,100.681891,100,100,100,100,100,100.4507519,100,100,100,101.3988922,100,106.8276339,100,100.4908022,100,100,100,100,100,99.16762087,100,100,106.8276339,100,100,100
11/30/1900,104.3746414,102.6559958,100,100,102.8799629,100,100,100,100,100,100.00011,102.8799629,100,100,102.6149833,100,100,100,100,100,102.3593162,100,100,100,103.4065903,100,111.5494153,100,102.4001275,100,100,100,100,100,103.1244089,100,100,111.5494153,100,100,100
12/31/1900,104.7817025,103.8673365,100,100,102.8799732,100,100,100,100,100,100.00012,102.8799732,100,100,103.8258401,100,100,100,100,100,103.5466843,100,100,100,104.688832,103.343465,120.7522421,100,103.5879689,100,100,100,100,100,111.5599856,100,100,120.7522421,100,100,100
1/31/1901,105.1589167,104.2516457,100,100,98.19224719,100,100,100,100,100,100.00013,98.19224719,100,100,104.2099957,100,100,100,100,100,103.9090977,100,100,100,105.2018073,103.343465,131.7648465,100,103.9712444,100,100,100,100,100,122.4705522,100,100,131.7648465,100,100,100
